,0
0,Connecticut
1,South Dakota
2,West Virginia
3,Tennessee
4,New Jersey
5,Kentucky
6,Michigan
7,South Carolina
8,Nebraska
9,Utah
10,Arkansas
11,Washington
12,Florida
13,Iowa
14,Arizona
15,Ohio
16,New York
17,Louisiana
18,Idaho
19,Hawaii
20,Vermont
21,Indiana
22,Delaware
23,Wyoming
24,Massachusetts
25,Rhode Island
26,Alabama
27,Maryland
28,Maine
29,California
30,Montana
31,Kansas
32,North Dakota
33,Texas
34,Wisconsin
35,New Hampshire
36,Oregon
37,North Carolina
38,Virginia
39,Missouri
40,Colorado
41,Minnesota
42,New Mexico
43,Illinois
44,Oklahoma
45,Georgia
46,Nevada
47,Pennsylvania
48,Alaska
49,Mississippi
